t,peak,dur,gyro,conf,accepted,counted,reason
6,1.52,502,2.72,70,1,0,prewalk
7,1.12,805,1.74,65,1,1,ok
8,1.20,905,2.10,65,1,0,cooldown
9,1.14,705,1.34,0,0,0,lowrot
10,1.20,804,1.75,80,1,1,ok
11,1.20,602,1.55,70,1,0,monotony
12,1.27,605,1.11,70,1,0,monotony
13,1.11,500,1.18,55,1,0,cadence
14,1.11,600,1.01,55,1,0,walkctx
15,1.15,502,1.91,70,1,0,walkctx
16,1.14,622,1.30,70,1,0,monotony
17,1.20,701,1.77,70,1,0,monotony
18,1.12,805,0.96,65,1,1,ok
19,1.34,502,1.13,70,1,0,cadence
20,1.19,706,2.07,55,1,0,walkctx
20,1.21,502,1.75,70,1,0,walkctx
22,1.15,701,1.53,55,1,0,monotony
23,1.10,605,1.16,55,1,0,monotony
24,1.16,502,1.28,55,1,0,monotony
24,1.24,502,1.24,70,1,0,cadence
26,1.12,805,1.61,65,1,0,walkctx
27,1.18,503,1.14,70,1,0,walkctx
28,1.17,502,1.53,70,1,0,monotony
28,1.15,502,2.44,55,1,0,monotony
30,1.13,507,1.00,55,1,0,monotony
31,1.10,502,1.36,55,1,0,monotony
32,1.11,507,1.60,55,1,0,monotony
33,1.21,502,0.91,70,1,0,monotony
34,1.29,502,2.35,70,1,0,cadence
35,1.19,507,0.99,70,1,0,walkctx
36,1.14,502,1.66,55,1,0,walkctx
38,1.28,502,1.56,70,1,0,monotony
39,1.27,502,0.81,70,1,0,monotony
40,1.13,502,2.21,55,1,0,monotony
41,1.13,507,1.64,55,1,0,cadence
42,1.17,503,1.98,55,1,0,walkctx
43,1.19,502,1.20,70,1,0,walkctx
44,1.25,503,2.06,70,1,0,cadence
45,1.23,502,1.18,70,1,0,walkctx
46,1.19,507,1.45,55,1,0,walkctx
47,1.11,503,1.42,55,1,0,cadence
47,1.15,503,2.94,70,1,0,walkctx
48,1.34,506,1.01,70,1,0,walkctx
49,1.11,503,2.08,55,1,0,cadence
50,1.24,502,1.45,70,1,0,walkctx
51,1.31,505,2.44,70,1,0,walkctx
53,1.23,1308,2.15,80,1,1,ok
54,1.17,806,2.03,65,1,0,cooldown
55,1.36,701,2.51,70,1,0,cadence
55,1.19,502,0.78,0,0,0,lowrot
57,1.17,706,3.22,55,1,0,walkctx
57,1.17,706,1.88,55,1,0,cadence
58,1.33,707,4.22,70,1,0,walkctx
59,1.18,806,1.93,65,1,0,walkctx
60,1.40,503,1.27,0,0,0,lowrot
61,1.35,502,2.97,70,1,1,ok
62,1.30,503,1.32,70,1,0,cooldown
64,1.38,1413,2.04,80,1,1,ok
64,1.60,502,3.33,70,1,0,cooldown
65,1.58,504,2.02,70,1,0,cooldown
66,1.20,701,2.29,70,1,0,cadence
67,1.29,1105,2.11,80,1,0,walkctx
69,1.16,1208,1.46,0,0,0,lowrot
70,1.24,806,1.25,0,0,0,lowrot
71,1.29,1104,1.52,80,1,1,ok
72,1.25,503,3.31,70,1,0,cadence
73,1.25,502,2.61,70,1,0,walkctx
74,1.48,1110,1.50,0,0,0,lowrot
75,1.14,502,2.32,55,1,1,ok
77,1.45,607,2.36,70,1,0,monotony
78,1.27,507,2.26,70,1,0,cadence
78,1.19,502,2.18,70,1,0,walkctx
79,1.22,606,0.75,0,0,0,lowrot
80,1.33,502,1.16,0,0,0,lowrot
81,1.17,502,2.96,70,1,0,monotony
82,1.29,602,2.21,70,1,0,monotony
83,1.35,806,1.85,80,1,0,cadence
83,1.44,502,1.71,70,1,0,walkctx
84,1.12,806,0.92,65,1,0,walkctx
85,1.15,509,2.72,55,1,0,cadence
86,1.44,707,6.92,70,1,0,walkctx
87,1.14,502,1.28,0,0,0,lowrot
88,1.16,805,1.73,65,1,1,ok
89,1.28,502,4.18,70,1,0,cooldown
90,1.16,905,1.16,65,1,0,cooldown
91,1.19,507,1.13,70,1,1,ok
92,1.21,598,1.95,55,1,0,cadence
94,1.26,805,1.67,65,1,0,walkctx
95,1.18,1209,1.94,65,1,1,ok
96,1.16,502,1.69,55,1,0,cooldown
98,1.25,1309,1.97,80,1,1,ok
99,1.20,502,1.16,70,1,0,cooldown
100,1.14,503,1.75,70,1,0,cooldown
100,1.19,503,1.44,70,1,0,cadence
101,1.20,503,1.94,70,1,0,walkctx
102,1.22,502,1.36,70,1,0,walkctx
103,1.35,706,1.90,70,1,0,monotony
105,1.28,1208,2.29,80,1,1,ok
106,1.34,502,1.36,70,1,0,cooldown
107,1.20,602,1.47,70,1,0,cooldown
108,1.35,1109,3.02,80,1,1,ok
109,1.15,502,1.79,55,1,0,cooldown
110,1.15,508,3.32,70,1,0,cadence
111,1.19,502,2.64,55,1,0,walkctx
112,1.13,507,2.85,55,1,0,walkctx
114,1.24,1108,3.14,80,1,1,ok
115,1.24,707,2.67,55,1,0,cooldown
116,1.10,502,2.12,0,0,0,settling
117,1.19,706,2.17,55,1,1,ok
117,1.30,502,2.86,70,1,0,cooldown
119,1.49,1512,3.27,80,1,0,cooldown
120,1.39,1308,1.58,80,1,1,ok
121,1.16,502,2.04,70,1,0,cooldown
122,1.29,507,1.23,0,0,0,lowrot
123,1.13,806,1.52,65,1,1,ok
124,1.27,707,2.46,55,1,0,cooldown
126,1.23,1209,2.30,80,1,0,cooldown
127,1.32,805,2.04,80,1,1,ok
127,1.33,507,2.50,70,1,0,cooldown
129,1.23,1109,2.26,80,1,0,cooldown
130,1.26,806,2.14,65,1,1,ok
131,1.17,503,2.69,70,1,0,cadence
132,1.18,502,1.53,70,1,0,walkctx
134,1.15,805,1.48,0,0,0,lowrot
134,1.31,602,2.22,70,1,0,monotony
135,1.15,502,2.56,70,1,0,monotony
138,1.34,1209,2.13,80,1,1,ok
140,1.25,1308,1.86,80,1,0,cooldown
141,1.13,502,0.98,0,0,0,lowrot
142,1.32,1209,2.32,80,1,1,ok
143,1.16,500,1.80,70,1,0,cooldown
144,1.23,502,0.94,0,0,0,lowrot
145,1.33,502,1.82,70,1,1,ok
146,1.11,806,1.26,65,1,0,cooldown
147,1.12,503,1.39,70,1,0,monotony
148,1.21,502,1.16,70,1,0,monotony
