t,peak,dur,gyro,conf,accepted,counted,reason,peaks,speed
6,2.12,1108,4.35,70,1,1,ok,1,0.820
8,2.13,1307,3.79,70,1,0,cooldown,2,0.940
9,1.91,1306,3.95,70,1,1,ok,2,0.940
11,1.81,1510,2.93,70,1,0,monotony,2,0.760
13,1.88,1207,3.13,70,1,0,monotony,2,0.760
15,1.34,1411,2.95,80,1,0,monotony,2,0.760
17,1.58,1293,2.99,80,1,0,monotony,2,0.760
18,1.68,1393,3.79,80,1,0,monotony,2,1.050
20,2.01,1392,3.22,70,1,0,monotony,2,0.870
22,1.98,1392,4.00,70,1,0,monotony,2,0.690
23,2.23,1288,3.89,70,1,0,monotony,2,1.140
25,1.67,1193,4.17,80,1,0,monotony,1,0.920
27,1.55,1292,2.77,80,1,0,monotony,2,0.860
28,1.60,1193,3.75,80,1,0,monotony,2,1.100
30,1.32,1293,3.66,80,1,0,monotony,2,0.770
32,1.42,1292,3.93,80,1,0,monotony,2,0.670
35,1.62,895,3.12,80,1,1,ok,1,0.063
37,1.80,1492,3.49,80,1,0,cooldown,2,0.678
38,1.36,597,3.32,70,1,1,ok,1,0.934
38,1.31,604,1.69,70,1,0,cadence,1,0.934
39,1.25,597,1.14,0,0,0,lowrot,1,0.654
41,1.85,1591,4.53,70,1,1,ok,2,0.714
43,1.74,1392,3.53,80,1,0,cooldown,1,0.856
46,1.61,1790,2.37,80,1,1,ok,2,0.200
48,1.83,1393,3.30,70,1,0,cooldown,2,0.694
50,2.35,1389,4.07,70,1,1,ok,2,1.154
51,2.18,1492,3.77,70,1,0,cooldown,2,1.001
54,1.83,1293,4.58,70,1,0,monotony,1,0.078
57,2.76,2586,3.20,0,0,0,rhythmic,3,0.849
59,2.81,1890,4.60,60,1,0,walkctx,2,0.844
60,1.22,707,1.63,70,1,1,ok,1,0.893
62,2.05,1590,4.14,70,1,0,cooldown,2,0.423
64,2.32,1492,3.49,70,1,1,ok,2,0.881
65,1.33,1293,2.00,80,1,0,cooldown,1,0.766
67,1.64,1392,3.20,80,1,1,ok,2,0.664
69,1.24,1393,2.66,80,1,0,monotony,2,0.685
71,2.31,1392,4.40,70,1,1,ok,2,0.870
72,1.97,1393,4.16,70,1,0,cooldown,1,0.858
74,2.51,1491,4.05,60,1,1,ok,2,0.876
75,2.10,1193,4.76,70,1,0,monotony,1,0.813
77,2.19,1194,5.04,70,1,0,monotony,2,0.766
79,2.20,1392,4.22,70,1,0,monotony,2,0.881
81,2.39,1492,3.25,70,1,1,ok,2,0.900
82,3.00,1393,3.39,60,1,0,cooldown,2,0.882
84,2.34,1492,3.39,0,0,0,atpace,2,1.551
85,2.30,1293,3.27,70,1,0,monotony,2,0.718
87,1.51,1292,4.29,80,1,0,monotony,2,0.831
89,2.18,1492,4.45,70,1,0,monotony,2,1.092
90,1.90,1393,4.29,70,1,0,monotony,2,0.896
92,1.86,1094,3.85,70,1,0,monotony,2,1.065
93,1.61,1094,3.58,0,0,0,atpace,2,1.305
94,1.11,597,1.72,55,1,1,ok,1,0.202
96,2.42,1492,3.89,70,1,0,cooldown,2,0.404
98,1.99,1491,3.83,70,1,1,ok,2,0.742
99,1.52,994,3.73,80,1,0,cooldown,2,0.877
102,1.56,1492,3.37,80,1,1,ok,2,0.259
105,1.38,1293,3.80,80,1,1,ok,2,0.364
107,2.48,1492,3.40,70,1,0,cooldown,2,0.704
109,2.55,1194,4.75,60,1,0,monotony,1,0.807
110,1.90,1098,5.23,70,1,1,ok,2,0.956
112,1.69,994,3.12,80,1,0,cooldown,2,1.003
114,1.17,1292,3.59,80,1,1,ok,1,0.749
116,1.57,1094,3.11,80,1,0,cooldown,2,0.668
118,1.84,1293,4.98,70,1,1,ok,2,0.623
119,2.24,1094,3.55,70,1,0,cooldown,2,0.862
121,1.21,597,1.91,55,1,1,ok,1,0.541
122,1.18,597,3.21,55,1,0,cooldown,1,0.138
123,1.84,1492,4.48,70,1,0,cooldown,2,0.391
125,1.87,1392,3.08,70,1,1,ok,2,0.240
127,1.87,1293,4.79,70,1,0,cooldown,2,0.373
129,1.42,1592,2.63,80,1,1,ok,2,0.281
130,1.40,1193,4.07,80,1,0,cooldown,2,0.064
132,1.71,1293,4.17,80,1,1,ok,2,0.094
134,1.48,1492,4.18,80,1,0,cooldown,2,0.046
136,2.02,1491,3.18,70,1,0,monotony,2,0.091
138,1.70,1591,2.66,80,1,1,ok,2,0.074
140,1.94,1292,3.94,70,1,0,cooldown,2,0.084
142,2.08,1690,3.76,70,1,0,monotony,2,0.139
143,1.71,1492,3.31,80,1,0,monotony,2,0.061
145,1.79,1293,3.65,80,1,1,ok,2,0.034
147,1.86,1392,3.97,70,1,0,monotony,2,0.076
149,2.03,1591,3.66,70,1,0,monotony,2,0.103
151,1.77,1292,3.87,80,1,0,monotony,2,0.089
152,1.30,796,3.26,55,1,1,ok,1,0.096
154,1.23,895,2.28,80,1,0,cooldown,1,0.212
155,1.32,597,2.05,70,1,1,ok,1,0.051
156,1.82,597,2.47,60,1,0,monotony,1,0.102
159,1.13,597,1.55,55,1,0,monotony,1,0.000
160,1.43,1193,3.21,80,1,1,ok,1,0.092
162,1.43,1293,3.73,80,1,0,cooldown,2,0.073
164,1.98,1293,3.17,70,1,1,ok,2,0.215
166,1.69,1492,3.21,80,1,0,monotony,2,0.128
167,1.16,648,2.21,70,1,1,ok,1,0.257
169,2.58,1392,6.77,60,1,0,cooldown,2,0.094
170,1.43,1293,3.17,80,1,1,ok,2,0.697
172,1.11,597,5.36,55,1,0,cooldown,1,0.720
173,1.11,596,2.21,55,1,0,cooldown,1,0.171
174,2.11,1094,4.28,70,1,1,ok,1,0.142
176,2.22,1591,2.66,70,1,0,cooldown,2,0.615
178,1.35,1193,2.67,80,1,1,ok,2,1.019
182,1.33,1691,2.80,80,1,1,ok,2,0.683
183,2.52,1492,4.10,60,1,0,cooldown,2,0.674
185,2.81,1591,3.54,60,1,1,ok,3,0.539
187,1.93,1293,4.92,70,1,0,cooldown,2,0.939
188,2.14,1492,3.14,70,1,1,ok,2,0.818
190,2.47,1392,4.87,70,1,0,cooldown,2,0.954
191,1.63,1293,2.86,80,1,1,ok,2,0.999
193,2.80,1392,4.57,60,1,0,cooldown,2,0.773
195,1.69,1492,5.55,80,1,1,ok,2,0.857
196,2.03,1292,3.82,70,1,0,cooldown,2,0.569
198,2.36,1492,4.55,70,1,1,ok,2,0.517
200,1.80,1492,4.64,0,0,0,atpace,2,1.307
201,1.95,1194,3.94,70,1,1,ok,2,1.012
203,1.52,1591,3.27,80,1,0,cooldown,2,0.501
205,1.76,1293,4.12,80,1,1,ok,2,0.633
207,1.66,1293,3.92,80,1,0,monotony,2,0.758
209,2.27,1293,3.59,70,1,0,monotony,2,0.590
210,2.76,1392,3.85,60,1,0,monotony,2,0.709
212,1.51,895,6.24,80,1,1,ok,1,0.679
216,1.39,995,2.31,80,1,1,ok,2,0.274
217,1.23,1193,2.98,65,1,0,cooldown,2,0.925
219,1.58,1393,4.14,80,1,1,ok,2,0.732
221,1.52,895,4.14,80,1,0,cooldown,2,0.601
221,1.15,596,0.96,0,0,0,lowrot,1,0.424
226,1.42,1492,3.48,80,1,1,ok,2,0.572
230,1.53,1392,3.96,80,1,1,ok,2,0.438
231,1.56,1194,3.71,80,1,0,cooldown,2,0.697
233,1.41,1194,2.61,80,1,0,monotony,2,0.562
238,2.35,1393,5.15,70,1,1,ok,2,0.698
239,1.40,795,5.07,70,1,0,cooldown,1,0.801
242,3.40,1094,2.91,60,1,1,ok,1,0.147
244,1.97,1293,2.71,70,1,0,cooldown,2,0.361
246,1.90,995,3.35,70,1,1,ok,1,0.512
