t,counted,reason,speed,age,median
5,0,durbad,0,2992,
6,0,prewalk,0,4201,
7,0,prewalk,0,4807,
11,1,ok,0,8532,
11,0,cooldown_stationary,0,9134,
14,0,rhythmic,0,11953,
17,0,rhythmic,0,2767,
18,0,atpace_abs,1.330,176,
19,0,atpace_abs,1.330,777,
23,1,ok,0.360,313,
26,0,rhythmic,1.220,20,
27,0,atpace_abs,1.330,411,
29,1,ok,1.230,907,
30,0,cooldown,1.230,802,
31,0,lowrot,1.040,497,
36,0,rhythmic,0.408,865,
37,0,atpace_abs,2.525,62,
42,1,ok,0.154,141,
45,0,rhythmic,1.017,27,
48,0,rhythmic,1.473,717,
51,0,rhythmic,1.134,500,
55,1,ok,0.172,572,
57,0,cooldown,0.318,461,
58,1,ok,1.086,43,
59,0,cooldown,1.030,260,
63,1,ok,0.043,25,
65,0,atpace_rel,0.854,107,0.78
66,0,peakhigh,0.822,407,
68,0,atpace_rel,0.894,896,0.78
69,0,atpace_rel,0.977,991,0.78
73,1,ok,0.139,1069,
76,0,rhythmic,1.048,851,
79,0,rhythmic,1.079,538,
81,0,rhythmic,1.128,224,
83,0,atpace_rel,0.932,616,0.81
85,0,rhythmic,1.102,302,
87,0,atpace_rel,1.065,596,0.91
88,0,atpace_rel,1.268,887,0.95
89,0,atpace_rel,1.220,177,0.95
90,0,atpace_rel,1.018,71,1.00
95,1,ok,0.085,848,
98,0,rhythmic,1.165,734,
100,0,rhythmic,1.064,425,
103,0,rhythmic,1.078,101,
105,0,walkctx,1.174,496,
106,0,walkctx,1.155,494,
109,0,rhythmic,1.247,475,
109,0,atpace_abs,1.315,184,
110,0,atpace_abs,1.315,980,
115,1,ok,0,643,
117,0,peakhigh,0.428,730,
118,1,ok,1.043,27,
119,0,cooldown,0.852,216,
123,1,ok,0.057,504,
124,0,cooldown,0.336,987,
127,0,rhythmic,1.111,218,
130,0,rhythmic,1.332,455,
132,0,rhythmic,1.194,147,
135,0,rhythmic,1.178,830,
138,0,rhythmic,1.124,513,
139,0,walkctx,1.193,810,
140,1,ok,0.982,104,
144,1,ok,0,681,
146,0,cooldown,0.325,470,
147,0,monotony,0.078,771,
151,1,ok,0.156,45,
154,0,rhythmic,0.084,733,
157,0,rhythmic,0.168,514,
158,0,walkctx,0.099,7,
163,0,rhythmic,0.145,1279,
166,0,atpace_rel,0.275,467,0.15
166,1,ok,0.104,362,
167,0,atpace_rel,0.262,61,0.14
172,0,atpace_rel,0.168,630,0.14
174,0,rhythmic,1.178,412,
176,0,atpace_rel,1.152,5,0.15
177,0,atpace_rel,1.100,246,0.16
178,0,atpace_rel,1.068,190,0.17
179,0,atpace_rel,0.760,96,0.17
186,0,rhythmic,0.884,461,
187,0,atpace_rel,1.116,46,0.27
188,0,atpace_rel,1.119,241,0.28
194,0,rhythmic,1.025,109,
197,0,rhythmic,1.200,996,
200,0,rhythmic,1.024,678,
201,0,atpace_rel,1.102,676,0.99
202,0,walkctx,0.884,73,
206,1,ok,0.280,43,
209,0,rhythmic,0.953,741,
212,0,rhythmic,1.030,612,
213,0,atpace_rel,1.326,711,0.98
215,0,rhythmic,0.939,395,
217,0,walkctx,1.052,542,
220,1,ok,0,975,
223,0,rhythmic,0.647,849,
224,0,atpace_rel,0.895,645,0.96
228,1,ok,0.284,925,
231,0,rhythmic,0.773,712,
232,0,atpace_rel,0.956,905,0.88
233,0,atpace_rel,0.968,202,0.88
235,0,atpace_rel,1.221,704,0.90
241,0,rhythmic,0.762,658,
244,0,rhythmic,1.046,545,
245,0,atpace_rel,1.099,938,0.83
