t,counted,reason,speed
6,1,ok,0.840
7,0,cooldown,1.110
9,1,ok,1.110
11,0,cooldown,1.030
12,0,monotony,1.040
14,0,atpace_abs,1.470
16,0,atpace_abs,1.340
17,0,monotony,1.000
22,0,monotony,0.000
24,1,ok,0.730
25,0,cooldown,0.730
27,0,monotony,0.750
29,1,ok,0.930
33,0,monotony,0.000
36,0,rhythmic,0.931
39,0,rhythmic,1.006
41,0,atpace_rel,0.811
45,0,atpace_rel,0.759
48,0,rhythmic,0.949
50,0,atpace_rel,0.802
51,0,atpace_rel,1.042
54,0,monotony,0.000
56,0,atpace_rel,0.724
57,0,atpace_rel,0.710
59,0,atpace_rel,0.946
61,0,atpace_rel,1.066
62,0,atpace_rel,1.046
65,1,ok,0.139
67,0,cooldown,0.534
68,0,atpace_rel,0.724
70,0,atpace_rel,0.894
71,0,atpace_rel,1.056
74,1,ok,0.306
76,0,atpace_rel,0.638
76,0,atpace_rel,0.665
81,1,ok,0.000
83,0,atpace_rel,0.869
85,0,atpace_rel,0.890
86,0,atpace_rel,0.860
91,0,atpace_rel,0.592
93,0,atpace_rel,0.640
95,0,atpace_rel,0.772
96,0,atpace_rel,0.985
96,0,atpace_rel,0.826
100,1,ok,0.347
103,0,atpace_rel,0.731
104,0,atpace_rel,0.712
105,0,atpace_rel,0.598
111,1,ok,0.000
113,0,atpace_rel,0.647
116,0,rhythmic,0.754
120,1,ok,0.178
122,0,cooldown,0.502
123,0,atpace_rel,1.043
125,0,atpace_rel,1.162
126,0,atpace_rel,0.935
131,0,monotony,0.392
132,0,atpace_rel,0.851
134,0,atpace_rel,0.651
136,0,atpace_rel,0.631
142,0,monotony,0.000
144,0,monotony,0.436
146,0,atpace_rel,0.885
151,0,atpace_rel,0.746
152,1,ok,0.000
155,0,rhythmic,0.162
155,0,atpace_rel,0.988
157,0,atpace_rel,0.579
158,0,atpace_rel,0.830
162,1,ok,0.000
163,0,cooldown,0.000
164,0,cooldown,0.175
165,1,ok,0.255
167,0,atpace_rel,0.899
174,1,ok,0.246
176,0,atpace_rel,0.662
177,0,atpace_rel,0.575
181,1,ok,0.000
183,0,cooldown,0.000
185,0,atpace_rel,0.758
186,0,atpace_rel,0.754
188,0,atpace_rel,1.462
190,0,atpace_rel,1.200
192,1,ok,0.508
193,0,atpace_rel,0.818
195,0,atpace_rel,0.817
201,1,ok,0.232
204,0,rhythmic,0.828
206,0,atpace_rel,1.075
208,0,atpace_rel,0.864
209,0,atpace_rel,0.806
211,0,atpace_rel,0.867
212,0,atpace_rel,0.730
216,1,ok,0.454
218,0,atpace_rel,1.104
221,0,rhythmic,0.283
223,0,atpace_rel,1.148
224,0,atpace_rel,1.012
226,0,atpace_rel,0.973
227,0,atpace_rel,0.753
229,1,ok,0.471
234,1,ok,0.391
236,0,monotony,0.596
237,0,atpace_rel,0.804
239,0,atpace_rel,0.681
240,0,atpace_rel,1.032
242,0,atpace_rel,0.946
244,0,atpace_rel,0.787
245,0,atpace_rel,0.730
246,0,atpace_rel,0.721
251,1,ok,0.000
253,0,cooldown,0.306
254,0,atpace_rel,1.117
256,0,atpace_rel,0.953
