t,peak,dur,gyro,conf,accepted,counted,reason,peaks,speed
6,3.78,1208,5.11,0,0,0,peakhigh,2,1.31
9,3.30,2516,4.67,0,0,0,rhythmic,4,1.27
10,1.37,1104,5.33,80,1,0,walkctx,1,1.29
11,2.14,1010,5.04,70,1,1,ok,2,1.29
13,2.68,1198,5.01,60,1,0,cooldown,2,1.11
15,2.86,2586,6.49,0,0,0,rhythmic,4,1.13
17,3.19,1194,3.91,60,1,0,walkctx,1,1.02
18,1.65,1193,5.68,80,1,1,ok,2,1.02
19,2.23,1095,4.52,70,1,0,cooldown,2,1.03
21,2.62,1193,5.05,0,0,0,atpace,2,1.39
22,1.54,994,7.47,0,0,0,atpace,2,1.34
23,1.80,1094,4.84,0,0,0,atpace,2,1.34
26,4.23,2586,5.79,0,0,0,peakhigh,2,1.14
29,2.28,2287,5.18,0,0,0,rhythmic,4,1.19
30,2.31,995,5.04,70,1,0,walkctx,2,1.12
31,2.35,1094,4.58,70,1,0,monotony,2,1.03
32,1.78,1093,7.42,80,1,1,ok,1,1.03
36,3.97,2586,8.54,0,0,0,rhythmic,4,0.95
38,3.10,1293,5.50,60,1,0,walkctx,2,1.06
40,4.11,2586,6.43,0,0,0,rhythmic,3,0.89
43,4.43,2585,4.88,0,0,0,rhythmic,4,1.12
44,3.74,1094,6.14,0,0,0,peakhigh,1,1.11
47,2.04,2586,3.98,60,1,1,ok,2,0.83
50,2.66,2585,6.30,0,0,0,rhythmic,4,0.97
53,2.09,2585,6.86,60,1,1,ok,2,0.92
56,3.30,2586,5.34,0,0,0,rhythmic,3,1.37
58,4.22,2585,4.95,0,0,0,rhythmic,3,1.30
60,2.64,1293,4.36,60,1,0,walkctx,2,0.79
62,2.31,2387,5.90,0,0,0,rhythmic,4,1.21
64,2.23,995,6.52,0,0,0,atpace,2,1.30
67,2.59,2586,5.27,0,0,0,rhythmic,4,1.06
69,4.11,2586,7.73,0,0,0,rhythmic,3,1.30
71,3.92,1791,5.67,0,0,0,peakhigh,2,1.16
73,1.61,995,5.50,80,1,1,ok,1,1.28
75,3.16,2501,5.58,0,0,0,rhythmic,3,1.64
77,2.41,995,4.37,0,0,0,atpace,1,1.73
79,3.59,2287,5.38,0,0,0,rhythmic,3,1.69
82,3.64,2287,5.31,0,0,0,rhythmic,4,1.59
84,3.68,2487,5.48,0,0,0,rhythmic,3,1.45
86,1.65,1192,4.34,0,0,0,atpace,2,1.67
88,2.84,2586,5.97,0,0,0,rhythmic,3,1.58
91,4.04,2586,7.19,0,0,0,peakhigh,2,1.30
93,2.10,1790,6.88,70,1,1,ok,3,0.57
96,3.84,2586,5.07,0,0,0,peakhigh,2,1.05
98,2.66,1492,6.60,60,1,1,ok,2,0.29
99,2.01,1392,5.33,70,1,0,cooldown,1,1.05
102,2.13,2188,5.93,70,1,1,ok,2,1.14
104,2.09,1193,5.91,70,1,0,cooldown,2,0.97
107,4.14,2586,5.38,0,0,0,rhythmic,3,1.16
109,3.46,2387,6.59,0,0,0,rhythmic,3,1.13
